who,what,isCopy2,pub,pubnum,year,discogs_url
Lalo Schifrin ,Piano Strings and Bossa Nova,0,,E 4110,,http://discogs.com//Lalo-Schifrin-Piano-Strings-And-Bossa-Nova/release/2269726
Lalo Schifrin ,Towering Toccata,0,,,,
Lee Harvey Oswald ,The Presidents Assasin Speaks,0,,,,
Leonard Cohen ,Songs of Leonard Cohen,0,,,,
Leonard Cohen ,Songs of Love and Hate,0,,C30103,,http://discogs.com//Leonard-Cohen-Songs-Of-Love-And-Hate/release/483725
Leonard Nimoy ,The Way I Feel,0,,DLP-25883,,http://discogs.com//Leonard-Nimoy-The-Way-I-Feel/release/6067020
Les Baxter ,The Sounds of Adventure,0,,,,
Les Brown ,Concert Modern,0,,,,
Les Brown ,the cool classics,0,,,,
Les Troubadours Du Roi Baudouin ,Missa Luba,0,,,,
Liberty College ,I Love America,0,,,,
Lillian Fuchs ,Bach Suites for Viola,0,,,,
Lillian Gish ,The Tale of the Shining Princess,0,,,,
Lily Tomlin ,This is a Recording,0,,24-4055,,http://discogs.com//Lily-Tomlin-This-Is-A-Recording/release/641439
Lionel Hampton ,Plays Drums Vibes Piano,0,,,,
Living Shakespeare ,Hamlet,0,,,,
Living Shakespeare ,Macbeth,0,,,,
London Philharmonic ,Dukas Saint-Saens Chabrier,0,,,,
Loudon Wainwright III,Unrequited,0,,,,
Louis Armstrong ,Ambassador Satch,0,,,,
Louis Armstrong ,Hello Dolly,0,,,,
Louis Armstrong ,What a Wonderful World Reissue,0,,,,
Lou Reed ,Coney Island Baby,0,,,,http://discogs.com//Lou-Reed-Coney-Island-Baby/release/2952952
Lou Reed ,I Love You Suzanne 12in,0,,,,http://discogs.com//Lou-Reed-I-Love-You-Suzanne/release/3600311
Lou Reed ,The Bells,0,,,,
Luciano Pavarotti ,The World's Favorite Tenor Arias,0,,,,
Lynrd Skynyrd ,Freebird Picture Disc,0,,,,http://discogs.com//Lynyrd-Skynyrd-Freebird/release/2105407
Mahavishnu Orchestra n John McLauchlin ,Inner Worlds,0,,,,
Mahavishnu Orchestra ,Visions of the Emerald Beyond,0,,,,
Malo ,Dos,0,,,,
Maria Callas ,Sings Great Arias from French Operas,0,,,,
Marianne Moore ,Reading Her Poems n Fables from La Fontaine,0,,,,
Mark Monte and the Continentals ,Dancing at the Habana Hilton,0,,,,
Marlo Thomas and Friends ,Free to Be You and Me,0,,,,
Maurice Evans ,Hamlet Four Excerpts,0,,,,
Meco ,Star Wars and Other Galactic Funk,0,,,,http://discogs.com//Meco-Music-Inspired-By-Star-Wars-And-Other-Galactic-Funk/release/1613111
Merle Haggard ,Its Not Love,0,,,,
Mike Di Napoli ,Music From The Silent Films-Themes Of Action Love Melodrama Comedy,0,,,,
Mike Mainieri Quartet ,Blues on the Other Side,0,Argo,LP-706,,http://discogs.com//The-Mike-Mainieri-Quartet-Blues-On-The-Other-Side/release/3657217
Miles Davis ,Greatest Hits,0,,,,
Millie Jackson ,A Moments Pleasure,0,,SP-1-6722 2391 395,,http://discogs.com//Millie-Jackson-A-Moments-Pleasure/release/1536326
Mongo Santamaria ,Stone Soul,0,,,,
Monteux London Symphony Orchestra ,Dvorak Symphony no 7,0,,,,
Mr T ,Mr Ts Commandment,0,,,,
Musique ,Keep on Jumpin,0,,,,http://discogs.com//Musique-Keep-On-Jumpin/release/125653
Nanci Griffith ,Poet in My Window,0,,,,
Nancy Sinatra ,Boots,0,,Mono R-6202,,http://discogs.com//Nancy-Sinatra-Boots/release/4871124
Nancy Sinatra ,Sugar copy2,1,,,,
Nancy Sinatra ,Sugar,0,,,,
National Opera Orchestra ,Gershwin Rhapsody in Blue,0,,,,
Nations Business Execudisc ,How to Communicate Your Ideas,1,,,,
Neil Young ,After the Gold Rush,0,,,,
Neil Young ,Decade,0,,,,
Neil Young ,Everybody Knows This is Nowhere,0,,,,
Neil Young ,Harvest,0,,,,
Neil Young ,Live Rust,0,,,,
Neil Young ,Neil Young,0,,,,
Netherlands Philharmonic ,Mozart Symphony no 40,0,,,,
Nina Simone ,Sings the Blues,0,,,,
Odetta ,Sings Folk Songs,0,,,,
Oistrakh ,Tartini Devils Trill and Mozart Sonata in B Flat Minor,0,,,,
Oistrakh ,Tartini Devils Trill Sonata in G Minor,0,,,,
Ormandy ,Rachmaninoff Symphonic Dances,0,,,,
Paco de Lucia ,Fuente y Caudal,0,,,,
